Time [s],SP_AV1 [bar],SP_AV2 [mm],SP_AV3 [bar],Kp1 [N/A],Ki1 [N/A],Kd1 [N/A],Kp2 [N/A],Ki2 [N/A],Kd2 [N/A],Kp3 [N/A],Ki3 [N/A],Kd3 [N/A],S1fake [bar],S5fake [bar],S6fake [mm],AV1fake [%],AV2fake [%],AV3fake [%],S1real [bar],S2real [m3/h],S5real [bar],S6real [mm],S7real [m3/h],AV1real [%],AV2real [%],AV3real [%],QwIN [m3/h],QwOUT [m3/h],VwOUT [m3],Plant NORMALSTARTUP [1/0],Attack [1/0],Plant SHUTDOWN [1/0],Plant OFF [1/0],Plant RESTART [1/0]
32,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646294,9.991374959,1.278519149,298.3725644,23.49374612,87.71875,36.07843137,65.10204082,9.991374959,5.829690643,0.006673648,1,0,0,0,0
33,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646281,9.991397266,1.278519149,298.4664927,23.49254595,87.73125,36.10784314,65.14285714,9.991397266,8.309617526,0.00690447,1,0,0,0,0
34,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646271,9.991418283,1.278519149,298.639132,23.49141522,87.74375,36.03921569,65.20408163,9.991418283,6.900323512,0.007096146,1,0,0,0,0
35,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646262,9.991438083,1.278519149,298.7911455,23.49034989,87.75625,36.01960784,65.24489796,9.991438083,7.26964684,0.007298081,1,0,0,0,0
36,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646254,9.991456739,1.278519149,298.9437878,23.4893462,87.7625,35.96078431,65.30612245,9.991456739,7.258406875,0.007499703,1,0,0,0,0
37,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646247,9.991474315,1.278519149,299.0817166,23.48840056,87.775,35.93137255,65.34693878,9.991474315,7.521868655,0.007708644,1,0,0,0,0
38,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646242,9.991490874,1.278519149,299.2936109,23.48750964,87.7875,35.84313725,65.40816327,9.991490874,6.197538032,0.007880798,1,0,0,0,0
39,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646237,9.991506475,1.278519149,299.4257395,23.48667025,87.79375,35.81372549,65.44897959,9.991506475,7.625752996,0.008092624,1,0,0,0,0
40,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646233,9.991521174,1.278519149,299.5350764,23.48587942,87.80625,35.80392157,65.48979592,9.991521174,8.033851513,0.008315787,1,0,0,0,0
41,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646229,9.991535022,1.278519149,299.6631772,23.48513434,87.81875,35.74509804,65.55102041,9.991535022,7.697899024,0.008529617,1,0,0,0,0
