Time [s],SP_AV1 [bar],SP_AV2 [mm],SP_AV3 [bar],Kp1 [N/A],Ki1 [N/A],Kd1 [N/A],Kp2 [N/A],Ki2 [N/A],Kd2 [N/A],Kp3 [N/A],Ki3 [N/A],Kd3 [N/A],S1fake [bar],S5fake [bar],S6fake [mm],AV1fake [%],AV2fake [%],AV3fake [%],S1real [bar],S2real [m3/h],S5real [bar],S6real [mm],S7real [m3/h],AV1real [%],AV2real [%],AV3real [%],QwIN [m3/h],QwOUT [m3/h],VwOUT [m3],Plant NORMALSTARTUP [1/0],Attack [1/0],Plant SHUTDOWN [1/0],Plant OFF [1/0],Plant RESTART [1/0]
33,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.99170601,1.326644702,303.2388173,19.40589444,88.06875,33.99019608,62.26530612,9.99170601,5.419046229,0.006728426,1,0,0,0,0
34,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991709166,1.326644702,303.4043273,19.40566914,88.08125,33.88235294,62.20408163,9.991709166,7.02826402,0.006923656,1,0,0,0,0
35,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991712139,1.326644702,303.5015984,19.40545688,88.09375,33.81372549,62.14285714,9.991712139,8.250079796,0.007152825,1,0,0,0,0
36,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.99171494,1.326644702,303.6891926,19.4052569,88.1,33.6372549,62.08163265,9.99171494,6.632853715,0.007337071,1,0,0,0,0
37,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991717579,1.326644702,303.9342766,19.40506849,88.1125,33.5,62.02040816,9.991717579,5.603505446,0.007492724,1,0,0,0,0
38,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991720065,1.326644702,304.0391052,19.40489098,88.125,33.40196078,61.95918367,9.991720065,8.114771205,0.007718134,1,0,0,0,0
39,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991722407,1.326644702,304.2435528,19.40472373,88.13125,33.26470588,61.91836735,9.991722407,6.331102216,0.007893998,1,0,0,0,0
40,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991724614,1.326644702,304.4288747,19.40456616,88.14375,33.12745098,61.85714286,9.991724614,6.673548764,0.008079374,1,0,0,0,0
41,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991726694,1.326644702,304.6417934,19.40441771,88.15625,32.96078431,61.79591837,9.991726694,6.179432041,0.008251025,1,0,0,0,0
42,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991728653,1.326644702,304.8105222,19.40427784,88.16875,32.82352941,61.73469388,9.991728653,6.970651115,0.008444654,1,0,0,0,0
43,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991730499,1.326644702,305.0041927,19.40414607,88.175,32.68627451,61.67346939,9.991730499,6.524073541,0.008625879,1,0,0,0,0
